candidate_id,rank,score,reasoning
CAND_0000034,34,0.091760,"Business Analyst with 14.5 years in Ahmedabad, Gujarat; top skills include Flask, Salesforce CRM, Next.js. Fit driven by some search/ML systems experience; not marked open to work, response rate 0.15, notice 90 days. Concern: 90-day notice, low response rate (0.15)."
CAND_0000050,35,0.088774,"Business Analyst with 13.5 years in Gurgaon, Haryana; top skills include Feature Engineering, Excel, gRPC. Fit driven by adjacent technical profile; not marked open to work, response rate 0.42, notice 90 days. Concern: 90-day notice."
CAND_0000013,36,0.085664,"Civil Engineer with 1.1 years in Dubai; top skills include Data Pipelines, Spark, React. Fit driven by adjacent technical profile; open to work, response rate 0.28, notice 30 days."
CAND_0000049,37,0.072773,"Mechanical Engineer with 11.8 years in Berlin; top skills include GraphQL, Rust, Kubernetes. Fit driven by adjacent technical profile; not marked open to work, response rate 0.59, notice 120 days. Concern: 120-day notice."
CAND_0000042,38,0.060443,"HR Manager with 5.0 years in Berlin; top skills include Project Management, Marketing, YOLO. Fit driven by adjacent technical profile; not marked open to work, response rate 0.58, notice 30 days."
CAND_0000019,39,0.057176,"Project Manager with 6.5 years in Trivandrum, Kerala; top skills include Figma, YOLO, AWS. Fit driven by adjacent technical profile; not marked open to work, response rate 0.34, notice 60 days."
CAND_0000037,40,0.057095,"Business Analyst with 14.3 years in Dubai; top skills include Docker, AWS, Databricks. Fit driven by adjacent technical profile; not marked open to work, response rate 0.78, notice 30 days."
CAND_0000039,41,0.052839,"Marketing Manager with 3.9 years in Bhubaneswar, Odisha; top skills include CI/CD, Hadoop, Illustrator. Fit driven by adjacent technical profile; not marked open to work, response rate 0.52, notice 30 days."
CAND_0000024,42,0.050893,"HR Manager with 7.5 years in Trivandrum, Kerala; top skills include Forecasting, Node.js, ETL. Fit driven by adjacent technical profile; not marked open to work, response rate 0.78, notice 60 days. Concern: consulting-only background, JD trap penalties applied."
CAND_0000040,43,0.034471,"Customer Support with 1.6 years in Kochi, Kerala; top skills include Spring Boot, SAP, Weights & Biases. Fit driven by adjacent technical profile; not marked open to work, response rate 0.46, notice 90 days. Concern: 90-day notice."
CAND_0000012,44,0.028083,"Operations Manager with 1.1 years in Chandigarh, Chandigarh; top skills include Content Writing, AWS, PowerPoint. Fit driven by adjacent technical profile; not marked open to work, response rate 0.16, notice 60 days. Concern: low response rate (0.16)."
CAND_0000047,45,0.008566,"Project Manager with 2.4 years in Kochi, Kerala; top skills include Java, SQL, Scrum. Fit driven by adjacent technical profile; not marked open to work, response rate 0.39, notice 90 days. Concern: consulting-only background, 90-day notice."
CAND_0000003,46,0.008082,"Customer Support with 1.1 years in Austin; top skills include Kubernetes, Excel, Angular. Fit driven by adjacent technical profile; not marked open to work, response rate 0.46, notice 150 days. Concern: consulting-only background, 150-day notice."
CAND_0000021,47,0.007293,"Project Manager with 14.5 years in Bhubaneswar, Odisha; top skills include Embeddings, Recommendation Systems, Prompt Engineering. Fit driven by high semantic alignment to JD; not marked open to work, response rate 0.49, notice 60 days. Concern: JD trap penalties applied."
CAND_0000028,48,0.006970,"Operations Manager with 1.1 years in Dubai; top skills include Photoshop, CNN, Data Pipelines. Fit driven by adjacent technical profile; not marked open to work, response rate 0.14, notice 60 days. Concern: consulting-only background, low response rate (0.14)."
CAND_0000006,49,0.006090,"Business Analyst with 6.0 years in Austin; top skills include Content Writing, SEO, Sales. Fit driven by adjacent technical profile; not marked open to work, response rate 0.12, notice 150 days. Concern: 150-day notice, low response rate (0.12)."
CAND_0000008,50,0.000000,"Operations Manager with 3.6 years in Noida, Uttar Pradesh; top skills include Java, Rust, TypeScript. Fit driven by adjacent technical profile; not marked open to work, response rate 0.42, notice 90 days. Concern: consulting-only background, 90-day notice."
